X,Y,Reconstruction_Error
-1580498.8899064902,-844792.1822701137,0.0
-1577188.5629196586,-844792.1822701137,0.0
-1573878.2359328275,-844792.1822701137,0.0
-1570567.908945996,-844792.1822701137,0.0
-1567257.5819591647,-844792.1822701137,0.0
-1563947.2549723333,-844792.1822701137,0.0
-1560636.927985502,-844792.1822701137,0.0
-1557326.6009986706,-844792.1822701137,0.0
-1554016.2740118392,-844792.1822701137,0.0
-1550705.9470250078,-844792.1822701137,0.0
-1547395.6200381764,-844792.1822701137,0.0
-1544085.293051345,-844792.1822701137,0.0
-1540774.9660645137,-844792.1822701137,0.0
-1537464.6390776823,-844792.1822701137,0.0
-1534154.312090851,-844792.1822701137,0.0
-1530843.9851040195,-844792.1822701137,0.0
-1527533.6581171881,-844792.1822701137,0.0
-1524223.3311303568,-844792.1822701137,0.0
-1520913.0041435254,-844792.1822701137,0.0
-1517602.677156694,-844792.1822701137,0.0
-1514292.3501698626,-844792.1822701137,0.0
-1510982.0231830315,-844792.1822701137,0.0
-1507671.6961961999,-844792.1822701137,0.0
-1504361.3692093687,-844792.1822701137,0.0
-1501051.042222537,-844792.1822701137,0.0
-1497740.715235706,-844792.1822701137,0.0
-1494430.3882488746,-844792.1822701137,0.0
-1491120.0612620432,-844792.1822701137,0.0
-1487809.7342752116,-844792.1822701137,0.0
-1484499.4072883804,-844792.1822701137,0.0
-1481189.0803015488,-844792.1822701137,0.0
-1477878.7533147177,-844792.1822701137,0.0
-1474568.4263278863,-844792.1822701137,0.0
-1471258.099341055,-844792.1822701137,0.0
-1467947.7723542235,-844792.1822701137,0.0
-1464637.4453673922,-844792.1822701137,0.0
-1461327.1183805608,-844792.1822701137,0.0
-1458016.7913937294,-844792.1822701137,0.0
-1454706.464406898,-844792.1822701137,0.0
-1451396.1374200666,-844792.1822701137,0.0
-1448085.8104332353,-844792.1822701137,0.0
-1444775.4834464039,-844792.1822701137,0.0
-1441465.1564595725,-844792.1822701137,0.0
-1438154.829472741,-844792.1822701137,0.0
-1434844.5024859097,-844792.1822701137,0.0
-1431534.1754990784,-844792.1822701137,0.0
-1428223.848512247,-844792.1822701137,0.0
-1424913.5215254156,-844792.1822701137,0.0
-1421603.1945385842,-844792.1822701137,0.0
-1418292.8675517528,-844792.1822701137,0.0
-1414982.5405649215,-844792.1822701137,0.0
-1411672.21357809,-844792.1822701137,0.0
-1408361.886591259,-844792.1822701137,0.0
-1405051.5596044273,-844792.1822701137,0.0
-1401741.2326175962,-844792.1822701137,0.0
-1398430.9056307646,-844792.1822701137,0.0
-1395120.5786439334,-844792.1822701137,0.0
-1391810.2516571018,-844792.1822701137,0.0
-1388499.9246702706,-844792.1822701137,0.0
-1385189.597683439,-844792.1822701137,0.0
-1381879.270696608,-844792.1822701137,0.0
-1378568.9437097765,-844792.1822701137,0.0
-1375258.6167229451,-844792.1822701137,0.0
-1371948.2897361137,-844792.1822701137,0.0
